,3d%,3d%_allowed,TOP,date,first_downs,first_downs_allowed,margin,opp,pass_yards,pass_yards_allowed,penalty_yards,plays,points,points_allowed,result,rush_yards,rush_yards_allowed,sacked,sacks,takeaways,team,total_points,total_yards,total_yards_allowed,turnovers
59,0.45454545454545453,0.4166666666666667,28.616666666666667,09/17/2017,19,24,11,Green BayGB,223,308,34,58,34,23,Win,141,59,3,3,2,AtlantaAtl,57,364,367,0
60,0.4666666666666667,0.3333333333333333,32.78333333333333,09/18/2017,12,14,14,NY GiantsNYG,119,208,50,56,24,10,Win,138,62,3,5,1,DetroitDet,34,257,270,1
61,0.3333333333333333,0.4666666666666667,27.216666666666665,09/18/2017,14,12,-14,DetroitDet,208,119,50,55,10,24,Loss,62,138,5,3,1,NY GiantsNYG,34,270,257,1
62,0.6666666666666666,0.5,29.716666666666665,09/21/2017,26,25,2,San FranciscoSF,292,308,52,60,41,39,Win,126,113,0,4,2,LA RamsLA,80,418,421,2
63,0.5,0.6666666666666666,30.283333333333335,09/21/2017,25,26,-2,LA RamsLA,308,292,55,74,39,41,Loss,113,126,4,0,2,San FranciscoSF,80,421,418,2
64,0.2727272727272727,0.25,25.95,09/24/2017,12,24,-37,JacksonvilleJax,52,244,88,54,7,44,Loss,134,166,2,0,0,BaltimoreBal,51,186,410,3
65,0.25,0.2727272727272727,34.05,09/24/2017,24,12,37,BaltimoreBal,244,52,70,68,44,7,Win,166,134,0,2,3,JacksonvilleJax,51,410,186,0
66,0.4444444444444444,0.23076923076923078,32.583333333333336,09/24/2017,26,21,4,DetroitDet,277,253,68,65,30,26,Win,151,71,2,2,0,AtlantaAtl,56,428,324,3
67,0.23076923076923078,0.4444444444444444,27.416666666666668,09/24/2017,21,26,-4,AtlantaAtl,253,277,98,66,26,30,Loss,71,151,2,2,3,DetroitDet,56,324,428,0
68,0.42857142857142855,0.375,29.566666666666666,09/24/2017,21,16,-10,BuffaloBuf,255,197,79,66,16,26,Loss,111,75,3,4,0,DenverDen,42,366,272,2
69,0.375,0.42857142857142855,30.433333333333334,09/24/2017,16,21,10,DenverDen,197,255,69,63,26,16,Win,75,111,4,3,2,BuffaloBuf,42,272,366,0
70,0.5,0.5,31.15,09/24/2017,21,18,21,CarolinaCar,213,156,10,57,34,13,Win,149,132,1,4,3,New OrleansNO,47,362,288,0
71,0.5,0.5,28.85,09/24/2017,18,21,-21,New OrleansNO,156,213,5,59,13,34,Loss,132,149,4,1,0,CarolinaCar,47,288,362,3
