ha,team,third_per,third_per_allowed,TOP,first_downs,first_downs_allowed,margin,pass_yards,pass_yards_allowed,penalty_yards,plays,points,points_allowed,rush_yards,rush_yards_allowed,sacked,sacks,takeaways,total_points,total_yards,total_yards_allowed,turnovers
away,ARI,0.321181861,0.41902888325,28.977083335,17.75,18.75,-9.0,218.625,233.875,54.125,64.25,14.375,23.375,82.0,100.75,2.25,2.125,1.125,37.75,300.625,334.625,1.875
away,ATL,0.38494172490000006,0.3760989012,29.979999999999997,20.0,20.5,0.0,241.2,226.1,66.3,61.3,20.9,20.9,109.5,111.9,2.1,2.2,1.1,41.8,350.7,338.0,0.9
away,BAL,0.37538555199999996,0.39107351,30.8791666675,18.875,18.25,3.0,187.25,213.875,44.25,64.125,22.625,19.625,109.75,106.875,1.875,2.75,2.125,42.25,297.0,320.75,1.0
away,BUF,0.3928022776666667,0.36781783055555556,28.390740742222224,17.555555555555557,21.0,-7.0,177.66666666666666,211.11111111111111,60.77777777777778,64.55555555555556,16.0,23.0,105.33333333333333,125.0,3.7777777777777777,1.8888888888888888,1.0,39.0,283.0,336.1111111111111,1.3333333333333333
away,CAR,0.42571374688888886,0.31078458588888885,31.887037035555554,18.88888888888889,17.555555555555557,0.7777777777777778,215.11111111111111,238.22222222222223,50.0,63.0,21.666666666666668,20.88888888888889,104.77777777777777,76.88888888888889,2.3333333333333335,3.0,1.0,42.55555555555556,319.8888888888889,315.1111111111111,1.3333333333333333
away,CHI,0.34697226800000003,0.369484508625,30.00625000125,18.125,18.875,-9.125,202.125,200.625,67.375,62.875,11.5,20.625,102.75,114.75,1.875,2.375,1.5,32.125,304.875,315.375,2.0
away,CIN,0.28167977850000003,0.41164971674999995,26.410416666249997,15.25,21.125,-4.25,175.75,232.25,58.375,55.0,16.25,20.5,73.75,118.0,2.375,2.25,1.125,36.75,249.5,350.25,1.125
away,CLE,0.340975691125,0.41802734649999995,28.852083335000003,19.25,19.5,-11.375,217.625,228.875,67.5,64.875,16.5,27.875,121.875,115.25,3.25,2.5,0.875,44.375,339.5,344.125,2.5
away,DAL,0.364736652125,0.43028603337499993,29.187499999999996,18.75,20.125,4.875,201.25,207.5,67.375,60.875,22.625,17.75,132.125,100.625,2.0,2.625,1.75,40.375,333.375,308.125,1.0
away,DEN,0.30663650087500005,0.334214743875,29.893749999999997,17.125,17.625,-13.25,195.5,212.625,68.375,65.5,14.625,27.875,115.125,104.625,3.5,1.875,1.125,42.5,310.625,317.25,2.5
away,DET,0.40938228449999997,0.34652777775,31.50208333375,18.375,21.75,-0.875,257.25,219.75,56.0,63.375,24.25,25.125,81.0,127.25,2.875,2.125,1.75,49.375,338.25,347.0,1.875
away,GBP,0.39111516575000005,0.45551323662500004,29.816666665000003,20.125,21.875,-5.125,215.875,258.25,47.25,64.25,20.0,25.125,104.875,116.25,3.25,1.875,1.375,45.125,320.75,374.5,1.75
away,HOU,0.357711039125,0.368780178375,30.537499999999998,18.375,19.25,-11.625,217.75,258.25,69.5,63.75,17.5,29.125,101.875,112.375,3.125,2.25,0.5,46.625,319.625,370.625,1.875
away,IND,0.300557081875,0.46485320262499996,28.518749999999997,16.25,20.125,-13.375,176.5,244.0,35.625,61.125,14.75,28.125,107.75,125.375,2.75,1.5,1.125,42.875,284.25,369.375,1.25
